tiempo,volumen,hidrologia,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,costo_vertimiento,action,reward,reward_usd
56,1933.2730455652172,1.87,1792.9006221913044,68037.3290680851,86433.12223115127,11103.806498983271,36190.64757729516,133727.57630742973,68880.0,35333.747231362504,17488124.16940875,0.0,300350.7096669014,166623.13335947166,1875.720672,0.0,0.0,1.0,-17.488124169408753,-17488124.169408754
57,2016.093095373913,1.9,1980.5119488,75156.83887659574,83446.21612304743,11016.43924945665,36716.177360995935,131178.8327335,66024.54525445506,24264.433801590443,13881784.66592264,0.0,285002.88576632284,153824.05303282285,2155.4570016000002,0.0,0.0,1.0,-13.88178466592264,-13881784.66592264
58,2191.038148173913,1.97,2188.471824,83048.53922340425,86948.75525617333,11243.952255964494,36381.77820882268,134574.4857209605,63840.0,40075.84628463272,18406753.885389816,0.0,316957.37049357354,182382.88477261306,2051.9194752000003,0.0,0.0,1.0,-18.406753885389815,-18406753.885389816
59,2054.485799373913,1.93,2054.485799373913,77964.0124319149,86270.37463503586,11112.640300029936,36456.29165863506,133839.30659370084,58404.037922711854,11740.219127305361,9362469.530462794,0.0,265510.6238021794,131671.31720847858,2213.2589472,0.0,0.0,1.0,-9.362469530462795,-9362469.530462794
60,2213.2589472,2.1,2213.2589472,83989.16562340426,85204.61999868434,10813.929831108317,36624.74911774642,132643.29894753906,58886.814445227246,21222.981344195778,12255575.847781457,0.0,281972.74176677316,149329.4428192341,2103.4357344,0.0,0.0,1.0,-12.255575847781456,-12255575.847781455
61,2103.4357344,2.04,2103.4357344,79821.57374680851,88086.69888007017,10519.022792061409,36456.39532520748,135062.11699733906,58303.45444159129,15673.122569326546,10532282.214957094,0.0,279449.81181051274,144387.69481317367,1825.3607904,0.0,0.0,1.0,-10.532282214957092,-10532282.214957092
62,1825.3607904,1.91,1825.3607904,69269.13361914894,89008.3641081742,10162.96838403011,34108.82822734285,133280.1607195472,60902.06515638457,8430.92209817142,8619483.145089883,0.0,263261.01125784824,129980.85053830106,1916.393366817391,0.0,0.0,1.0,-8.619483145089882,-8619483.145089881
63,1916.393366817391,2.01,1916.393366817391,72723.65490212766,89463.04536756715,9972.615210240887,33820.55439699758,133256.2149748056,57110.13669656233,6731.479866581055,7730457.629630549,0.0,259292.65268081398,126036.43770600838,1979.0023680000002,0.0,0.0,1.0,-7.730457629630549,-7730457.629630549
64,1979.0023680000002,1.99,1979.0023680000002,75099.5530212766,94891.81835942432,9563.104142878781,33635.805140418444,138090.72764272155,50064.89546924328,1814.2210942764325,5550755.875207257,0.0,248754.16400935524,110663.43636663369,2259.4965119999997,0.0,0.0,1.0,-5.550755875207257,-5550755.875207257
65,2259.4965119999997,2.0,2259.4965119999997,85743.79740425533,94289.04168629115,9295.735461339134,35191.04599428708,138775.82314191735,52932.55961466514,8819.484416473,7939101.286408413,0.0,270429.02319086646,131653.2000489491,2664.2570976,0.0,0.0,1.0,-7.939101286408413,-7939101.286408413
66,2664.2570976,2.1,2664.2570976,101103.72801914893,92626.97625037367,8700.199318007642,35498.240488386815,136825.41605676812,43517.61257005154,4894.237582765672,5820032.531834855,0.0,259903.67477959656,123078.25872282844,3042.3635424000004,0.0,0.0,1.0,-5.820032531834856,-5820032.531834856
67,3042.3635424000004,1.9,2711.7484128,102905.93735531915,94836.57389358795,7972.95051741626,35494.42107808353,138303.94548908772,46674.30224694148,5403.149276844331,6288375.007747447,0.0,259982.51634072966,121678.57085164193,3603.1546655999996,0.0,0.0,1.0,-6.288375007747447,-6288375.007747447
