tiempo,volumen_discreto,hidrologia,volumen,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,action,reward,reward_usd
72,5.34,1.9,17622.83443511439,2874.308153257526,109074.78487415897,98902.87783107659,6313.888817388342,37372.87064236574,142589.63729083067,31391.447759105846,5772.691123802773,5413.018712389696,4870952.113051417,0.0,283415.54233550857,140825.9050446779,3885.766898086956,299.9443845672247,24.03,-4.870952113051417,-4870952.113051417
73,5.64,1.91,18334.348795376594,3015.7635021270903,114442.75898290599,94681.16623634899,6226.619440106171,37637.072097554694,138544.85777400984,33767.23550951142,13331.882963127284,4399.503903676819,7376288.439889328,0.0,295687.2313258777,157142.37355186787,3880.1839104,274.7738828949839,22.06,-7.376288439889327,-7376288.439889328
74,5.78,1.87,18923.99532075452,3190.502882215385,121073.8017507365,98082.60288412376,6146.379053501961,37262.135195270515,141491.11713289624,29821.633813779565,8299.94600374906,4980.871011019222,5472147.182502674,0.0,295705.62769014214,154214.5105572459,3689.9851968000003,267.88559926153874,23.83,-5.472147182502674,-5472147.182502674
75,5.87,1.91,19155.592036077596,3374.747805046154,128065.56263731587,97729.08333357955,6210.47218626575,37412.81097847418,141352.3664983195,23001.932764992882,5645.898647644273,7666.169922389095,3993962.87079257,0.0,290399.59062588343,149047.22412756394,4061.652625252174,164.25962818996697,26.66,-3.99396287079257,-3993962.87079257
76,6.02,1.78,19678.23722809365,3365.5776413538465,127717.57154566287,103119.13665103159,6069.428513861314,38417.16864588663,147605.73381077952,21558.201586772964,2876.8892269518624,7775.404191526428,3018886.926762855,0.0,291982.9919786408,144377.25816786126,4171.12318706087,211.8417726180608,25.42,-3.0188869267628546,-3018886.9267628547
77,6.19,1.96,20271.94100118261,3367.030799775251,127772.71627397709,105982.73087603849,5646.612610231015,38066.60193105314,149695.94541732263,25644.353791946432,5350.209240539826,4024.5801121328022,4169498.1513565914,0.0,304438.6446116532,154742.69919433055,4693.0859136,159.15577181538487,25.98,-4.169498151356591,-4169498.1513565914
78,6.63,1.81,21438.840343191976,4166.217371076923,158100.3981685761,108538.97196199423,6193.824760524929,38806.90781559161,153539.70453811076,23977.83942602934,11524.60019586483,2828.4641478360154,5855164.001362382,0.0,344314.078180745,190774.37364263425,4387.2391584,84.9304356923078,25.13,-5.855164001362382,-5855164.0013623815
79,6.69,2.07,21574.93169482275,4234.670435317726,160698.06788870704,108987.32106684642,6290.190766913083,38443.79195921555,153721.30379297506,18799.98900348803,4174.709737541467,9053.292527535388,3132411.821611243,0.0,328340.7778951762,174619.47410220111,4617.626227199999,101.306170402676,28.15,-3.132411821611243,-3132411.821611243
80,6.73,2.03,21856.58131630235,4252.874603815385,161388.88308903438,105242.78086242783,6685.458508578523,39103.49393240264,151031.73330340898,13354.34329284128,2017.83375939285,13443.76459859212,1940784.457101983,0.0,314349.02884608536,163317.29554267638,4253.776128,95.50331667692313,28.29,-1.940784457101983,-1940784.457101983
81,6.68,2.03,21761.97952381004,4071.051811938461,154489.0376821604,106962.96958925872,6647.31737238033,38585.94822061793,152196.235182257,18531.244268884682,3331.0134136748575,5631.052057758571,2852428.4509909255,0.0,322916.47848921834,170720.24330696135,4076.3846592,132.13673434113792,27.21,-2.8524284509909257,-2852428.4509909255
82,6.66,1.98,21635.17563673044,4031.422500794649,152985.17715042733,109441.80592289293,7023.564686972331,38278.57388971208,154743.94449957734,17718.24818229451,2407.693077781354,3315.762287539262,2494132.741563857,0.0,324539.3006225413,169795.35612296395,4022.4473855999995,199.02944492307716,26.99,-2.494132741563857,-2494132.741563857
83,6.6,2.05,21427.171076612714,3679.4628864000006,139628.94769361702,113120.30797449667,6989.011034042092,38268.33307111529,158377.65207965404,21046.166170316697,7834.805958800329,2578.225833151394,4455058.404671768,0.0,324309.3460692367,165931.69398958265,4132.7925408,90.7661324307695,23.57,-4.455058404671767,-4455058.404671768
84,6.69,2.09,21789.73459858195,4056.4999863973244,153936.82227734133,114861.06485674516,7118.774618768,38169.509841505685,160149.34931701884,20721.809401797535,1851.9044490952683,8815.809385215318,2627752.274908334,0.0,327844.07606003765,167694.7267430188,4004.6801760000003,103.7542308923079,26.19,-2.627752274908334,-2627752.274908334
85,6.7,1.97,21634.160557292314,4116.3176027076925,156206.79239983633,108814.0523399188,7705.7102233774585,37683.6946294219,154203.45719271817,20412.775681884956,9552.858340331444,2231.1575926931737,4907135.070287929,0.0,338144.7260220777,183941.26882935956,3661.4966976,63.76597144615393,27.67,-4.907135070287929,-4907135.070287929
