tiempo,volumen,hidrologia,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,costo_vertimiento,action,reward,reward_usd
40,7498.510989495652,2.09,4829.298627756522,183263.1300574468,108176.90193784745,9864.239537116413,31227.34317938806,149268.48465435192,11655.857311310447,0.0,1165585.7311310447,0.0,271783.7842877981,122515.2996334462,5806.087862400001,0.0,0.0,1.0,-1.1655857311310447,-1165585.7311310447
41,8475.30022413913,2.19,5177.8409759999995,196489.6804574468,104422.57659378197,10529.749504988575,31504.85887353122,146457.18497230177,5938.230357293264,0.0,593823.0357293264,0.0,248687.03109582505,102229.8461235233,5447.5261344,0.0,0.0,1.0,-0.5938230357293264,-593823.0357293264
42,8744.98538253913,2.19,5027.0933664,190769.0818957447,107996.14741250093,10636.545500075908,30752.21296938665,149384.9058819635,5964.5477141535675,0.0,596454.7714153569,0.0,241845.84513918724,92460.93925722374,5053.025376,0.0,0.0,1.0,-0.5964547714153569,-596454.7714153569
43,8770.91739213913,2.19,4783.5785088,181528.13440851064,108368.1616263384,10773.160558117665,31590.321507513345,150731.6436919694,6891.935529652322,0.0,689193.5529652322,0.0,243031.68515206288,92300.04146009349,4518.539765843479,0.0,0.0,1.0,-0.6891935529652322,-689193.5529652322
44,8505.878649182609,2.11,4544.8639488,172469.34951489363,102923.50995295042,10848.061603908141,32262.107988332133,146033.67954519068,13416.350975705887,0.0,1341635.0975705888,0.0,254923.67116354554,108889.99161835486,4160.7470016,0.0,0.0,1.0,-1.3416350975705889,-1341635.0975705888
45,8121.761701982608,2.14,4361.0718816,165494.7736787234,104473.43194198544,10923.442250445485,32514.580538018447,147911.4547304494,24345.55907846191,1051.8017745608015,2750096.4402144314,0.0,279482.70201845607,131571.24728800668,3580.2546498782613,0.0,0.0,1.0,-2.7500964402144312,-2750096.4402144314
46,7340.944470260869,2.04,3831.571558956522,145401.19612765955,104133.89710660212,11090.618849065764,32307.283140690088,147531.79909635798,21826.53044239069,0.0,2182653.0442390684,0.0,252816.80290537444,105285.00380901646,3347.2861106086953,0.0,0.0,1.0,-2.182653044239069,-2182653.044239069
47,6856.659021913042,2.11,3458.640703304348,131249.1460744681,101779.74723093813,11212.704877708187,34387.941797698426,147380.39390634475,26692.02686773658,0.0,2669202.686773658,0.0,252882.6829060886,105502.28899974385,2548.1757036521735,0.0,0.0,1.0,-2.6692026867736574,-2669202.6867736573
48,5946.194022260868,1.98,3005.5409517913045,114054.83172553191,99174.28621582552,11568.319282368751,35193.49844685015,145936.10394504442,50852.29362213972,8907.499984704396,7757479.35762529,0.0,287600.151518364,141664.04757331955,2657.8577087999997,0.0,0.0,1.0,-7.757479357625289,-7757479.35762529
49,5598.510779269564,2.07,3120.6331296000003,118422.37127446808,99338.40944907123,11291.319964265569,34924.236809625756,145553.96622296254,42884.38925454016,5208.094460923138,5850867.263730957,0.0,269981.77250352496,124427.80628056244,2589.6786048,0.0,0.0,1.0,-5.850867263730958,-5850867.263730958
50,5067.556254469564,2.07,3025.4631163826084,114810.84176382977,97313.17091924296,11329.20102259438,35295.99925486828,143938.37119670562,44093.14289003157,7305.951697549722,6601099.798268074,0.0,272941.20547683694,129002.83428013133,2264.2913664000002,0.0,0.0,1.0,-6.6010997982680735,-6601099.798268073
51,4306.384504486956,1.89,2578.071888,97833.1555212766,94055.30850885547,11043.135413804714,35184.48269391482,140282.926616575,57761.06133460301,15602.925579061888,10456983.807178866,0.0,281570.19380582887,141287.26718925388,2164.7473344,0.0,0.0,1.0,-10.456983807178867,-10456983.807178866
52,3893.059950886956,1.92,2649.7128672,100551.80083617021,92467.96306251167,11350.593319777001,36432.24441620002,140250.8007984887,56139.19817869724,15732.58138760831,10333694.234152216,0.0,278529.30516817287,138278.50436968417,1949.847984,0.0,0.0,1.0,-10.333694234152217,-10333694.234152216
53,3193.195067686956,1.92,2406.882222469565,91336.81798723404,92077.1464552851,11269.442481945203,36251.92264326596,139598.51158049627,56278.68854925245,13572.072743326124,9699490.677923081,0.0,273271.2614697159,133672.74988921965,2034.1308346434782,0.0,0.0,1.0,-9.699490677923082,-9699490.677923081
54,2820.4436798608695,1.99,2236.5241894956516,84872.03940141844,90611.44799048475,11377.655082999983,36257.837276160855,138246.94034964562,62994.13385078358,29995.217157006733,15297978.53218038,0.0,298787.0187044276,160540.07835478196,2110.2687648,0.0,0.0,1.0,-15.29797853218038,-15297978.53218038
55,2694.188255165217,1.94,2258.390464278261,85701.82489787234,88359.82409203946,11416.239695997296,35889.021960530175,135665.08574856693,62336.74636148456,60000.3144817728,24233768.980680294,0.0,337508.73742893845,201843.65168037155,2060.9842176,0.0,0.0,1.0,-24.233768980680296,-24233768.980680294
56,2496.7820084869563,2.01,2182.830433669565,82834.45868510638,86433.12223115127,11103.806498983271,36190.64757729516,133727.57630742973,59640.0,33769.066208629134,16094719.862588739,0.0,300350.7096669014,166623.13335947166,2151.9207359999996,0.0,0.0,1.0,-16.09471986258874,-16094719.862588739
57,2465.872310817391,2.03,2267.4379304347826,86045.15984042553,83446.21612304743,11016.43924945665,36716.177360995935,131178.8327335,60385.13936397506,23147.818328709025,12982859.435010213,0.0,285002.88576632284,153824.05303282285,2062.9915488,0.0,0.0,1.0,-12.982859435010214,-12982859.435010213
58,2261.425929182609,1.99,2165.9047112347826,82192.15819574468,86948.75525617333,11243.952255964494,36381.77820882268,134574.4857209605,64569.62191155592,40061.5018697391,18475412.752077322,0.0,316957.37049357354,182382.88477261306,1902.2490144,0.0,0.0,1.0,-18.47541275207732,-18475412.752077322
59,1997.7702323478259,1.86,1976.9530952347827,75021.78683404256,86270.37463503586,11112.640300029936,36456.29165863506,133839.30659370084,60596.54288066996,11819.711488240571,9605567.734539166,0.0,265510.6238021794,131671.31720847858,1939.448448,0.0,0.0,1.0,-9.605567734539166,-9605567.734539166
60,1960.2655851130435,1.96,1960.2655851130435,74388.52607021277,85204.61999868434,10813.929831108317,36624.74911774642,132643.29894753906,63850.29753938044,22119.52649419748,13020887.702197287,0.0,281972.74176677316,149329.4428192341,2326.0390272,0.0,0.0,1.0,-13.020887702197287,-13020887.702197287
61,2326.0390272,2.17,2326.0390272,88268.96525106384,88086.69888007017,10519.022792061409,36456.39532520748,135062.11699733906,54609.26239379768,14898.948856274947,9930610.896262253,0.0,279449.81181051274,144387.69481317367,2227.2425279999998,0.0,0.0,1.0,-9.930610896262253,-9930610.896262253
62,2227.2425279999998,2.15,2227.2425279999998,84519.81717021277,89008.3641081742,10162.96838403011,34108.82822734285,133280.1607195472,53507.441053873736,7759.254595788315,7678520.484123868,0.0,263261.01125784824,129980.85053830106,1930.1285325913043,0.0,0.0,1.0,-7.678520484123868,-7678520.484123868
63,1930.1285325913043,1.96,1930.1285325913043,73244.87954893617,89463.04536756715,9972.615210240887,33820.55439699758,133256.2149748056,56687.06632329323,7655.919779347012,7965482.5661334265,0.0,259292.65268081398,126036.43770600838,2003.3782271999999,0.0,0.0,1.0,-7.965482566133426,-7965482.5661334265
64,2003.3782271999999,2.02,2003.3782271999999,76024.57269787234,94891.81835942432,9563.104142878781,33635.805140418444,138090.72764272155,49353.53910099473,1733.5592008228618,5455421.670346331,0.0,248754.16400935524,110663.43636663369,2433.36744,0.0,0.0,1.0,-5.455421670346331,-5455421.670346331
65,2433.36744,2.08,2433.36744,92341.88398936171,94289.04168629115,9295.735461339134,35191.04599428708,138775.82314191735,50590.959719749335,8841.033589792407,7711406.0489126565,0.0,270429.02319086646,131653.2000489491,2726.5557312,0.0,0.0,1.0,-7.7114060489126555,-7711406.048912656
66,2726.5557312,2.11,2726.5557312,103467.84825106383,92626.97625037367,8700.199318007642,35498.240488386815,136825.41605676812,43121.09392753289,5089.40825297268,5838931.868645093,0.0,259903.67477959656,123078.25872282844,3246.2095679999998,0.0,0.0,1.0,-5.838931868645094,-5838931.868645094
67,3246.2095679999998,2.12,2944.5861311999997,111741.70676170211,94836.57389358795,7972.95051741626,35494.42107808353,138303.94548908772,38209.72050010984,4510.781264032125,5174206.4292206215,0.0,259982.51634072966,121678.57085164193,4215.2848416,0.0,0.0,1.0,-5.174206429220622,-5174206.4292206215
68,4516.9082784,2.29,3501.150912,132862.3314468085,93489.92244418705,7886.580423981958,30304.0610313741,131680.5638995431,34671.99856277225,6345.514976960844,5370854.349365478,0.0,262592.1720142353,130911.60811469218,4220.055504,0.0,0.0,1.0,-5.370854349365478,-5370854.349365478
69,5235.8128704,2.12,3648.265488,138445.0629680851,99055.78688356072,7202.4720605141165,23179.4313984164,129437.69034249125,38385.33056297252,6470.147944357546,5779577.439604516,0.0,258253.258099876,128815.56775738478,4186.662287165218,0.0,0.0,1.0,-5.779577439604516,-5779577.439604516
70,5774.209669565217,2.09,3775.3226871652173,143266.65339148938,100802.10191017616,6848.619997839734,24103.36180696789,131754.08371498378,36913.26379048892,10454.451325632514,6827661.776738647,0.0,272176.6777959837,140422.5940809999,4187.323728,0.0,0.0,1.0,-6.827661776738648,-6827661.776738647
71,6186.2107104,2.09,3770.1653472,143070.94168723404,101712.86540940804,6592.239287264835,35807.85017270486,144112.95486937772,34736.82507434271,4918.438743035827,4949214.1303450195,0.0,273093.8679571654,128980.91308778769,3888.6077488695655,0.0,0.0,1.0,-4.94921413034502,-4949214.1303450195
72,6304.653112069565,2.02,3718.6867696695654,141117.42297234043,98902.87783107659,6313.888817388342,37372.87064236574,142589.63729083067,37841.06918861658,8795.258701466932,6422684.529301737,0.0,283415.54233550857,140825.9050446779,4283.961012313043,0.0,0.0,1.0,-6.422684529301737,-6422684.5293017365
73,6869.927354713042,2.07,3914.2039104,148536.94409787233,94681.16623634899,6226.619440106171,37637.072097554694,138544.85777400984,37098.3771972615,11880.42730012209,7273965.909762777,0.0,295687.2313258777,157142.37355186787,4106.0712672,0.0,0.0,1.0,-7.273965909762777,-7273965.909762776
74,7061.794711513043,2.05,4035.4578432,153138.31108085107,98082.60288412376,6146.379053501961,37262.135195270515,141491.11713289624,33888.401110740204,9121.761165957809,6125368.4608613625,0.0,295705.62769014214,154214.5105572459,3785.449248,0.0,0.0,1.0,-6.125368460861361,-6125368.460861362
75,6811.786116313043,1.92,4110.184696069566,155974.05970851064,97729.08333357955,6210.47218626575,37412.81097847418,141352.3664983195,32561.7678293311,6737.798031045659,5277516.192246808,0.0,290399.59062588343,149047.22412756394,3924.331707130435,0.0,0.0,1.0,-5.277516192246808,-5277516.192246808
76,6625.933127373912,1.89,4083.133227965218,154947.50552340425,103119.13665103159,6069.428513861314,38417.16864588663,147605.73381077952,30602.635428019083,3835.852302602483,4211019.233582653,0.0,291982.9919786408,144377.25816786126,4285.378058713043,0.0,0.0,1.0,-4.211019233582653,-4211019.233582653
77,6828.177958121739,1.91,4218.458411269565,160082.85095957445,105982.73087603849,5646.612610231015,38066.60193105314,149695.94541732263,30822.407860426825,6194.979120625062,4940734.5222302005,0.0,304438.6446116532,154742.69919433055,4501.3473791999995,0.0,0.0,1.0,-4.940734522230201,-4940734.522230201
78,7111.066926052174,1.86,4537.921370713044,172205.89125957448,108538.97196199423,6193.824760524929,38806.90781559161,153539.70453811076,32743.202185816415,11837.280856698684,6825504.475591247,0.0,344314.078180745,190774.37364263425,4392.9206496,0.0,0.0,1.0,-6.825504475591247,-6825504.475591247
79,6966.066204939129,1.82,4493.377298504348,170515.5244531915,108987.32106684642,6290.190766913083,38443.79195921555,153721.30379297506,29616.46784215338,7010.864832271485,5064906.233896784,0.0,328340.7778951762,174619.47410220111,4727.8522368,0.0,0.0,1.0,-5.064906233896783,-5064906.233896784
80,7200.541143234782,2.08,4686.2571168,177834.96397234043,105242.78086242783,6685.458508578523,39103.49393240264,151031.73330340898,26488.538349606497,3312.8993638544225,3642723.6441169768,0.0,314349.02884608536,163317.29554267638,4474.0842048,0.0,0.0,1.0,-3.6427236441169764,-3642723.6441169763
81,6988.368231234782,2.12,4482.401335513044,170099.00655106385,106962.96958925872,6647.31737238033,38585.94822061793,152196.235182257,32110.20616904771,4709.577958719269,4623894.004520551,0.0,322916.47848921834,170720.24330696135,3996.7379424,0.0,0.0,1.0,-4.623894004520552,-4623894.004520552
82,6502.704838121738,1.94,4110.786813913043,155996.9089893617,109441.80592289293,7023.564686972331,38278.57388971208,154743.94449957734,40453.25070024356,5857.146669514274,5802469.070878638,0.0,324539.3006225413,169795.35612296395,3874.3191648,0.0,0.0,1.0,-5.802469070878638,-5802469.070878638
83,6266.237189008696,1.89,4049.0706816,153654.8936255319,113120.30797449667,6989.011034042092,38268.33307111529,158377.65207965404,41911.76207347054,5333.378835702372,5791189.858057766,0.0,324309.3460692367,165931.69398958265,4164.3842687999995,0.0,0.0,1.0,-5.791189858057766,-5791189.858057766
84,6381.550776208695,2.08,4151.2845637565215,157533.72519574466,114861.06485674516,7118.774618768,38169.509841505685,160149.34931701884,38452.27068166559,6750.376197862442,5870339.927525291,0.0,327844.07606003765,167694.7267430188,4055.7216672,0.0,0.0,1.0,-5.870339927525291,-5870339.927525291
85,6285.987879652173,2.09,4129.1014464,156691.91609787234,108814.0523399188,7705.7102233774585,37683.6946294219,154203.45719271817,40588.70788928472,14348.293910467226,8363358.96206864,0.0,338144.7260220777,183941.26882935956,3814.4572703999997,0.0,0.0,1.0,-8.36335896206864,-8363358.96206864
86,5971.343703652174,2.05,4002.8875488000003,151902.32744042552,107203.76023211186,8001.380225167575,37474.076294960505,152679.21675223997,26748.146574748716,1480.60186321767,3118995.216440173,0.0,286387.8691902277,133708.65243798774,3847.7345760000003,0.0,0.0,1.0,-3.118995216440173,-3118995.216440173
87,5816.190730852174,2.06,3961.7344587130433,150340.64225957447,112030.51419189484,8130.02420678211,36893.56343253513,157054.10183121206,35846.99791253692,7922.610944131149,5961483.074493037,0.0,322262.0935318128,165207.99170060072,4006.6893216000003,0.0,0.0,1.0,-5.961483074493036,-5961483.074493036
88,5861.145593739131,2.08,4171.0679136,158284.46746595745,110973.89708092282,8777.884254768369,35502.399382622796,155254.180718314,30199.558674886237,3713.388700891033,4133972.4777559335,0.0,306810.46157574235,151556.28085742836,4329.881136,0.0,0.0,1.0,-4.1339724777559335,-4133972.4777559335
89,6019.958816139131,2.16,4297.263588313043,163073.36459787234,113773.15843514315,8886.893265367251,35378.65160160347,158038.7033021139,13574.846801594458,0.0,1357484.6801594456,0.0,270934.923208138,112896.21990602408,5105.2849344,0.0,0.0,1.0,-1.3574846801594458,-1357484.6801594459
90,6827.9801622260875,2.22,4784.679770713044,181569.92530212767,112577.72360963479,9004.506799795894,35723.90719650016,157306.13760593085,6735.982098609351,0.0,673598.2098609351,0.0,263070.47748510976,105764.33987917891,5261.5610208,0.0,0.0,1.0,-0.6735982098609351,-673598.2098609351
91,7304.861412313044,2.16,4984.891632,189167.6025638298,118186.25924482192,9254.235725440987,35121.69811973758,162562.19309000048,8290.702300513223,0.0,829070.2300513223,0.0,280285.53235852404,117723.33926852356,5134.2022368,0.0,0.0,1.0,-0.8290702300513223,-829070.2300513223
92,7454.172017113044,1.97,4905.1269792,186140.67855957447,108336.85170387033,9678.460335603726,34639.51528125604,152654.82732073008,9903.326841372878,0.0,990332.6841372878,0.0,266130.84408309334,113476.01676236326,5246.551094400001,0.0,0.0,1.0,-0.9903326841372878,-990332.6841372878
93,7795.596132313043,1.94,4883.1860448,185308.05986595748,108663.71511870055,10409.765215760042,35326.79863828945,154400.27897275003,15716.005448572681,0.0,1571600.544857268,0.0,285577.11513657524,131176.8361638252,5101.4898144,0.0,0.0,1.0,-1.571600544857268,-1571600.544857268
94,8013.899901913043,1.99,4695.0545376,178168.8101468085,108878.7002933889,10653.755954974824,34749.295254014454,154281.75150237817,10085.042789688865,0.0,1008504.2789688865,0.0,262082.3299189076,107800.57841652943,4749.4810944,0.0,0.0,1.0,-1.0085042789688865,-1008504.2789688865
